,PID,Longitude,Latitude
1,526301100,-93.619754,42.054035
2,526350040,-93.619756,42.053014
3,526351010,-93.6193873,42.052659
4,526353030,-93.61732,42.051245
5,527105010,-93.638933,42.060899
6,527105030,-93.638925,42.060779
7,527127150,-93.633792,42.062978
8,527145080,-93.633826,42.060728
9,527146030,-93.632852,42.06112
10,527162130,-93.639068,42.059193
11,527163010,-93.636947,42.05848
12,527165230,-93.635951,42.057419
13,527166040,-93.638647,42.058151
14,527180040,-93.634626,42.057268
15,527182190,-93.632913,42.059169
16,527216070,-93.62655,42.061239
17,527225035,-93.6235954,42.0603514
18,527258010,-93.628804,42.05885
19,527276150,-93.622971,42.056673
20,527302110,-93.636655,42.054453
21,527358140,-93.633962,42.050346
22,527358200,-93.636372,42.05027
23,527368020,-93.639366,42.049297
24,527402200,-93.626231,42.055147
25,527402250,-93.626537,42.054592
26,527403020,-93.628806,42.055227
27,527404120,-93.627112,42.053395
28,527425090,-93.622769,42.056375
29,527427230,-93.624373,42.055318
30,527451180,-93.627271,42.051835
31,527451330,-93.627536,42.051684
32,527451410,-93.62728,42.051685
33,527452190,-93.627232,42.049672
34,527453130,-93.625924,42.050683
35,527453150,-93.625966,42.050681
36,527454200,-93.625848,42.049811
37,528108120,-93.653201,42.062352
38,528112020,-93.654645,42.062109
39,528120060,-93.6537329,42.0611331
40,528120090,-93.6528306,42.0612885
41,528120100,-93.652713,42.060872
42,528120120,-93.65332,42.0608079
43,528138020,-93.652336,42.060879
44,528138060,-93.652307,42.060298
45,528150070,-93.655051,42.059617
46,528175010,-93.650436,42.058388
47,528176010,-93.656067,42.058599
48,528176070,-93.654853,42.057102
49,528180070,-93.654121,42.057164
50,528181050,-93.649447,42.058252
51,528188120,-93.651013,42.057181
52,528218150,-93.644356,42.061928
53,923203090,-93.608195,41.993173
54,923203100,-93.608195,41.99315
55,923205120,-93.607142,41.990054
56,923225190,-93.604391,41.990993
57,923225240,-93.603922,41.990523
58,923225260,-93.603518,41.991731
59,923225510,-93.604279,41.993062
